date,open,high,low,close,volume,ticker,ma5,ma20,ma60,macd,macd_signal,macd_hist,rsi14,bb_width,bb_pct,atr14,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_lag20,vol_ratio,pct_from_52w_high,stock_id,static_cap,sbv_rate,cal_day_of_week,cal_month,cal_day_of_month,cal_is_month_end,cal_is_qtr_end,cal_is_tet,cal_is_tet_pre,cal_rate_month,VNINDEX_close,usd_vnd,gold_vnd_per_gram,cross_HDB_lag1,cross_HDB_lag2,cross_TCB_lag1,cross_TCB_lag2,cross_TPB_lag1,cross_TPB_lag2,split
2/27/2019,6234,6254,6204,6224,4390245,HDB,6189.2842,6178.0975,6060.0159,62.162,71.7762,-9.6142,51.1628,0.0593,0.625,114.0461,-0.0016,-0.013,0.0165,0.0299,-0.0194,0.0198,0.6849,-0.0192,0,1,6.5,2,2,27,0,0,0,0,0,990,23203,982995,6234.0308,6305.2188,12563.7158,12701.0244,6513.7261,6591.2705,train
2/28/2019,6224,6224,6102,6102,6822725,HDB,6197.4199,6178.606,6061.1459,51.0819,67.6374,-16.5554,44.898,0.0589,0.2892,118.4045,-0.0198,-0.0214,-0.0328,0.0067,-0.0263,0.0017,1.0509,-0.0385,0,1,6.5,3,2,28,1,0,0,0,0,970,23198,979129,6223.8613,6234.0308,12449.292,12563.7158,6498.2173,6513.7261,train
3/1/2019,6102,6193,6102,6183,4445245,HDB,6209.6235,6183.1824,6064.3574,48.3089,63.7717,-15.4628,47.5728,0.0574,0.5,120.5837,0.0132,-0.0066,-0.0082,0.0099,0,0.0149,0.6943,-0.0256,0,1,6.5,4,3,1,0,0,0,0,1,980,23198,966897,6101.8247,6223.8613,12128.9062,12449.292,6436.1812,6498.2173,train
3/4/2019,6183,6224,6143,6183,5006416,HDB,6185.2162,6187.2502,6067.4041,45.5858,60.1345,-14.5487,42.5532,0.056,0.4883,116.2252,0,0.0132,-0.0066,-0.0195,-0.0066,0.0132,0.7831,-0.0256,0,1,6.5,0,3,4,0,0,0,0,1,990,23198,958246,6183.1821,6101.8247,12174.6758,12128.9062,6498.2173,6436.1812,train
3/5/2019,6183,6275,6163,6244,6012206,HDB,6187.2502,6194.369,6071.8241,47.8003,57.6677,-9.8673,44.898,0.0549,0.6464,118.4044,0.0098,0.0098,0.0231,0.0016,0.0231,0.0231,0.9364,-0.016,0,1,6.5,1,3,5,0,0,0,0,1,990,23198,956157,6183.1821,6183.1821,12357.7529,12174.6758,6575.7612,6498.2173,train
3/6/2019,6254,6305,6204,6244,5357784,HDB,6191.3181,6201.4878,6076.0284,48.9907,55.9323,-6.9416,48.8889,0.0534,0.6289,116.2252,0,0.0098,0.0098,0.0033,0.0331,0.0231,0.8258,-0.016,0,1,6.5,2,3,6,0,0,0,0,1,990,23198,958320,6244.2007,6183.1821,12266.2148,12357.7529,6482.708,6575.7612,train
3/7/2019,6244,6275,6183,6244,7475069,HDB,6219.7933,6203.5218,6080.0325,49.365,54.6188,-5.2538,53.6586,0.0538,0.6219,114.046,0,0,0.0098,0.0231,0.0298,0.0065,1.118,-0.016,0,1,6.5,3,3,7,0,0,0,0,1,990,23198,957500,6244.2007,6244.2007,12266.2148,12266.2148,6482.708,6482.708,train
3/8/2019,6193,6224,6102,6183,5595825,HDB,6219.7933,6202.5048,6082.4313,44.2281,52.5407,-8.3126,47.619,0.0539,0.4422,116.9517,-0.0098,-0.0098,-0.0098,0,0.0099,-0.0033,0.8707,-0.0256,0,1,6.5,4,3,8,0,0,0,0,1,990,23198,967345,6244.2007,6244.2007,12243.3301,12266.2148,6513.7261,6482.708,train
3/11/2019,6204,6204,6122,6183,2889130,HDB,6219.7933,6199.9624,6084.7211,39.6994,49.9724,-10.273,55.5555,0.0537,0.4496,110.414,0,-0.0098,-0.0098,0,-0.0195,-0.0082,0.4582,-0.0256,0,1,6.5,0,3,11,0,0,0,0,1,980,22793.6992,944476,6183.1821,6244.2007,12014.4834,12243.3301,6467.1992,6513.7261,train
3/12/2019,6183,6305,6163,6285,6946612,HDB,6227.929,6197.9284,6089.1691,43.8115,48.7402,-4.9287,65.7895,0.052,0.77,116.2253,0.0163,0.0163,0.0065,0.0065,0.0081,-0.0065,1.1173,-0.0096,0,1,6.5,1,3,12,0,0,0,0,1,1000,23198,966823,6183.1821,6183.1821,12037.3672,12014.4834,6451.6904,6467.1992,train
3/13/2019,6285,6356,6285,6305,11042898,HDB,6240.1326,6195.8945,6093.8658,48.1565,48.6235,-0.467,65.7895,0.0497,0.8549,113.3196,0.0032,0.0195,0.0195,0.0097,0.013,-0.0064,1.838,-0.0064,0,1,6.5,2,3,13,0,0,0,0,1,1010,23198,975176,6284.8794,6183.1821,12266.2148,12037.3672,6575.7612,6451.6904,train
3/14/2019,6305,6315,6244,6285,6875003,HDB,6248.2684,6196.9114,6097.9299,49.3894,48.7767,0.6127,61.1111,0.0504,0.7816,106.0555,-0.0032,0,0.0163,0.0065,0.0296,0.0032,1.1208,-0.0096,0,1,6.5,3,3,14,0,0,0,0,1,1010,23198,964660,6305.2188,6284.8794,12426.4082,12266.2148,6606.7788,6575.7612,train
3/15/2019,6285,6498,6275,6468,14787448,HDB,6305.2188,6211.149,6105.6383,64.3951,51.9004,12.4947,61.1111,0.0636,1.1504,107.5084,0.0287,0.0255,0.0287,0.045,0.045,0.045,2.2359,0,0,1,6.5,4,3,15,0,0,0,0,1,1000,23198,970925,6284.8794,6305.2188,12311.9844,12426.4082,6606.7788,6606.7788,train
3/18/2019,6488,6570,6437,6468,6563639,HDB,6362.1691,6223.3527,6113.0321,75.4179,56.6039,18.814,67.6923,0.0734,1.0353,108.2347,0,0.0287,0.0255,0.045,0.045,0.0385,0.9945,0,0,1,6.5,0,3,18,0,0,0,0,1,1010,23198,969806,6467.9341,6284.8794,12289.0986,12311.9844,6513.7261,6606.7788,train
3/19/2019,6468,6580,6468,6488,7827358,HDB,6402.8479,6242.6751,6120.5369,84.817,62.2465,22.5705,69.6969,0.08,0.992,112.5932,0.0031,0.0031,0.0318,0.0318,0.0383,0.0614,1.1794,0,0,1,6.5,1,3,19,0,0,0,0,1,1010,23198,973311,6467.9341,6467.9341,12380.6377,12289.0986,6591.2705,6513.7261,train
3/20/2019,6468,6488,6305,6458,6143617,HDB,6433.357,6263.523,6127.1492,88.7806,67.5533,21.2273,80.7017,0.0793,0.8913,116.9517,-0.0047,-0.0016,-0.0016,0.0239,0.0336,0.0667,0.9101,-0.0047,0,1,6.5,2,3,20,0,0,0,0,1,1000,23198,969955,6488.2734,6467.9341,12243.3301,12380.6377,6591.2705,6591.2705,train
3/21/2019,6458,6498,6295,6305,4488895,HDB,6437.4249,6275.7266,6130.5737,78.7054,69.7837,8.9217,59.375,0.0732,0.5642,124.9421,-0.0239,-0.0286,-0.0255,0.0032,0.0097,0.0395,0.679,-0.0282,0,1,6.5,3,3,21,0,0,0,0,1,980,23198,974132,6457.7642,6488.2734,12174.6758,12243.3301,6575.7612,6591.2705,train
3/22/2019,6305,6387,6265,6305,5718978,HDB,6404.8818,6284.8793,6133.8688,69.9148,69.81,0.1049,59.375,0.0694,0.5466,127.8478,0,-0.0239,-0.0286,-0.0255,0.0195,0.0295,0.8681,-0.0282,0,1,6.5,4,3,22,0,0,0,0,1,990,23198,978234,6305.2188,6457.7642,11945.8281,12174.6758,6560.2524,6575.7612,train
3/25/2019,6163,6244,6112,6163,5865522,HDB,6343.8636,6277.7605,6134.4054,50.8732,66.0226,-15.1494,44.4444,0.0715,0.2441,133.6591,-0.0228,-0.0228,-0.0467,-0.0483,-0.0033,-0.0228,0.9063,-0.0502,0,1,6.5,0,3,25,0,0,0,0,1,970,22803.8008,969162,6305.2188,6305.2188,11945.8281,11945.8281,6575.7612,6560.2524,train
3/26/2019,6163,6234,6143,6163,6558519,HDB,6278.7774,6274.2011,6134.9224,35.3748,59.8931,-24.5182,44.4444,0.0732,0.2576,132.9326,0,-0.0228,-0.0228,-0.0515,-0.0196,-0.0115,1.0027,-0.0502,0,1,6.5,1,3,26,0,0,0,0,1,970,23198,980248,6162.8428,6305.2188,11716.9814,11945.8281,6482.708,6575.7612,train
